,Area,Occupational Title,Mean Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage,Rounded Employment
49,Apache ,Nursing Assistants,16.66,11.23,13.28,16.59,19.80,22.29, 170 
50,Apache ,Medical Assistants,18.67,14.01,15.76,17.12,18.48,19.37, * 
51,Apache ,Protective Service Occupations,19.66,11.11,13.34,17.34,22.55,28.83, 660 
52,Apache ,First-Line Supervisors of Police and Detectives,35.52,22.11,25.75,29.51,35.72,59.75, 30 
53,Apache ,First-Line Supervisors of Fire Fighting and Prevention Workers,18.31,12.69,13.47,14.75,25.12,28.78, * 
54,Apache ,Firefighters,12.60,10.51,10.92,12.31,13.94,14.95, 120 
55,Apache ,Police and Sheriff's Patrol Officers,27.36,17.11,19.50,22.67,26.56,34.31, 140 
56,Apache ,Security Guards,15.13,10.51,12.35,15.00,17.70,19.26, 170 
57,Apache ,Food Preparation and Serving-Related Occupations,12.76,10.50,10.51,11.01,12.73,17.62," 1,320 "
58,Apache ,First-Line Supervisors of Food Preparation and Serving Workers,23.37,14.51,17.74,26.10,29.34,31.27, 80 
59,Apache ,"Cooks, Institution and Cafeteria",14.52,10.80,11.49,12.82,17.20,21.30, 120 
60,Apache ,"Cooks, Restaurant",11.93,10.50,10.51,10.92,12.35,15.01, 80 
61,Apache ,Food Preparation Workers,12.57,10.50,10.51,11.79,14.14,16.04, * 
62,Apache ,"Combined Food Preparation and Serving Workers, Including Fast Food",11.56,10.50,10.51,10.96,11.93,13.34, 450 
63,Apache ,Waiters and Waitresses,11.85,10.50,10.50,10.51,11.97,14.47, 170 
64,Apache ,Building and Grounds Cleaning and Maintenance Occupations,13.09,10.50,10.67,11.88,14.54,17.41, 670 
65,Apache ,First-Line Supervisors of Housekeeping and Janitorial Workers,14.58,10.82,11.28,12.08,16.23,20.19, 50 
66,Apache ,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",13.65,10.83,11.54,13.21,15.29,17.21, 340 
67,Apache ,Maids and Housekeeping Cleaners,11.14,10.50,10.50,10.51,11.11,11.99, 200 
68,Apache ,Landscaping and Groundskeeping Workers,13.53,10.51,10.95,11.96,14.77,18.84, 60 
69,Apache ,Personal Care and Service Occupations,12.20,10.51,10.73,11.39,12.18,14.51," 1,160 "
70,Apache ,Personal Care Aides,11.36,10.51,10.64,11.24,11.84,12.46, 890 
71,Apache ,Sales and Related Occupations,15.79,10.51,11.02,12.02,14.75,27.69," 1,240 "
72,Apache ,First-Line Supervisors of Retail Sales Workers,15.90,11.10,12.24,14.22,17.61,26.43, 80 
73,Apache ,Cashiers,12.89,10.59,11.08,11.87,13.54,16.80, 730 
74,Apache ,Retail Salespersons,13.32,10.50,10.51,11.23,12.52,15.11, 240 
75,Apache ,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",39.51,23.83,28.05,32.91,49.10,69.58, * 
76,Apache ,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",17.58,10.50,10.51,12.43,24.26,31.69, 60 
77,Apache ,Office and Administrative Support Occupations,23.90,11.21,13.00,16.88,22.06,33.03," 2,760 "
78,Apache ,First-Line Supervisors of Office and Administrative Support Worke,38.39,14.21,16.98,22.01,33.13,*, 270 
79,Apache ,"Bookkeeping, Accounting, and Auditing Clerks",23.40,13.01,15.82,20.29,23.86,29.85, 170 
80,Apache ,Procurement Clerks,19.67,16.05,16.98,19.09,22.69,24.52, 40 
81,Apache ,Customer Service Representatives,16.11,11.96,14.08,16.35,18.16,19.69, 240 
82,Apache ,"Eligibility Interviewers, Government Programs",19.48,13.23,14.63,18.89,24.52,25.85, 40 
83,Apache ,"Hotel, Motel, and Resort Desk Clerks",11.96,10.51,10.86,11.56,12.59,14.43, 100 
84,Apache ,"Library Assistants, Clerical",13.79,10.51,11.22,12.59,15.15,19.68, 50 
85,Apache ,Receptionists and Information Clerks,14.81,11.26,12.40,14.46,17.40,18.81, 40 
86,Apache ,"Information and Record Clerks, All Other",20.17,13.65,16.39,20.88,23.86,25.85, 60 
87,Apache ,"Police, Fire, and Ambulance Dispatchers",12.48,10.51,10.70,11.44,12.59,17.40, * 
88,Apache ,Postal Service Clerks,24.35,17.20,21.39,22.35,30.05,30.06, 30 
89,Apache ,"Production, Planning, and Expediting Clerks",20.98,13.51,16.03,20.06,25.49,30.21, * 
90,Apache ,"Shipping, Receiving, and Traffic Clerks",20.64,14.09,17.22,20.60,23.77,27.06, 30 
91,Apache ,Stock Clerks and Order Fillers,13.48,10.56,11.00,11.74,14.14,18.17, 170 
92,Apache ,Executive Secretaries and Executive Administrative Assistants,36.66,15.55,18.52,28.28,40.28,60.93, 60 
93,Apache ,Medical Secretaries,15.85,12.24,13.76,15.95,17.93,19.11, 80 
94,Apache ,"Secretaries and Administrative Assistants, Except Legal, Medical,",17.82,11.89,13.51,16.18,20.25,23.69, 380 
95,Apache ,Data Entry Keyers,15.45,10.90,11.93,13.93,17.17,23.68, * 
96,Apache ,"Office Clerks, General",37.41,11.11,12.76,18.73,34.90,*, 570 
97,Apache ,"Farming, Fishing, and Forestry Occupations",20.97,17.73,20.38,21.93,23.47,24.40, * 
98,Apache ,Construction and Extraction Occupations,20.47,12.61,14.67,19.49,24.18,29.37, 510 
99,Apache ,First-Line Supervisors of Construction Trades and Extraction Work,27.61,18.57,21.47,25.11,29.17,40.76, 50 
100,Apache ,Carpenters,19.54,13.59,15.52,19.10,23.45,26.77, 130 
101,Apache ,Construction Laborers,15.71,11.30,12.40,13.98,17.11,24.59, 90 
102,Apache ,Operating Engineers and Other Construction Equipment Operators,21.92,13.52,16.34,21.78,27.78,29.98, * 
103,Apache ,Highway Maintenance Workers,16.93,12.13,13.60,16.39,20.14,23.18, 80 
104,Apache ,"Installation, Maintenance, and Repair Occupations",23.00,11.09,13.56,19.76,27.77,40.42, 630 
105,Apache ,"First-Line Supervisors of Mechanics, Installers, and Repairers",32.51,20.99,24.47,34.26,38.73,43.09, * 
106,Apache ,Automotive Service Technicians and Mechanics,15.16,10.79,11.20,11.89,17.89,26.51, * 
107,Apache ,"Maintenance and Repair Workers, General",19.58,10.78,12.33,16.70,22.47,27.77, 370 
108,Apache ,Production Occupations,25.22,11.11,12.78,19.62,40.11,47.34, 440 
109,Apache ,First-Line Supervisors of Production and Operating Workers,24.80,16.21,17.90,23.49,30.41,37.83, * 
110,Apache ,Water and Wastewater Treatment Plant and System Operators,18.74,12.84,15.76,19.30,22.13,23.94, * 
111,Apache ,Helpers--Production Workers,16.06,12.74,15.33,16.63,17.94,18.72, * 
112,Apache ,Transportation and Material Moving Occupations,16.82,11.00,12.23,16.43,19.62,23.88, 740 
113,Apache ,"Bus Drivers, School or Special Client",14.66,10.80,11.56,14.22,16.91,18.94, 210 
114,Apache ,Heavy and Tractor-Trailer Truck Drivers,20.44,14.21,17.05,19.80,24.00,27.96, 180 
115,Apache ,"Laborers and Freight, Stock, and Material Movers, Hand",14.55,10.89,11.54,13.74,17.52,19.70, 80 
116,Cochise ,Total all occupations,23.85,10.72,11.70,17.39,30.63,45.28," 32,240 "
117,Cochise ,Management Occupations,43.57,16.67,27.97,40.89,54.00,68.49," 1,960 "
118,Cochise ,Chief Executives,80.74,22.43,47.34,65.05,*,*, 80 
119,Cochise ,General and Operations Managers,35.32,10.64,19.52,32.23,49.51,61.11, 560 
120,Cochise ,Marketing Managers,65.97,24.29,34.17,55.49,88.66,*, * 
121,Cochise ,Sales Managers,49.05,27.40,31.68,41.97,59.90,91.51, 50 
122,Cochise ,Administrative Services Managers,34.90,20.45,24.50,33.13,45.64,56.13, 70 
123,Cochise ,Computer and Information Systems Managers,50.98,17.53,26.59,45.11,68.50,86.81, 100 
124,Cochise ,Financial Managers,42.15,25.91,29.84,38.05,53.31,63.51, 80 
125,Cochise ,Training and Development Managers,39.00,28.65,33.39,37.53,43.55,53.95, * 
126,Cochise ,Construction Managers,60.16,32.62,38.66,46.04,58.52,*, 70 
127,Cochise ,"Education Administrators, Elementary and Secondary School",*,*,*,*,*,*, 90 
128,Cochise ,"Education Administrators, All Other",51.31,43.65,49.27,50.69,54.90,63.23, 50 
129,Cochise ,Architectural and Engineering Managers,66.42,57.22,61.56,64.88,72.41,81.20, 50 
130,Cochise ,Medical and Health Services Managers,38.17,17.60,28.31,38.31,47.78,56.46, 70 
131,Cochise ,"Property, Real Estate, and Community Association Managers",27.33,12.30,13.85,24.82,30.80,42.24, 60 
132,Cochise ,"Managers, All Other",50.23,42.24,46.46,49.27,54.91,64.47, 290 
133,Cochise ,Business and Financial Operations Occupations,35.52,20.02,28.65,35.57,42.62,49.70," 2,210 "
134,Cochise ,Buyers and Purchasing Agents,36.74,22.12,27.93,37.73,45.58,52.40, 130 
135,Cochise ,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",36.19,20.03,29.63,39.08,41.45,47.86, 180 
136,Cochise ,Human Resources Specialists,34.83,21.35,25.90,34.58,42.62,49.51, 170 
137,Cochise ,Logisticians,41.60,29.39,34.57,41.44,49.27,54.92, 120 
138,Cochise ,Management Analysts,40.22,26.94,31.85,38.82,46.25,55.87, 200 
139,Cochise ,Training and Development Specialists,38.20,27.99,33.79,38.42,44.92,49.16, 370 
140,Cochise ,"Business Operations Specialists, All Other",36.48,26.12,31.61,35.52,40.26,49.28, 560 
141,Cochise ,Accountants and Auditors,30.87,16.04,20.15,27.12,41.44,53.84, 150 
142,Cochise ,Loan Officers,27.70,20.21,22.77,26.71,30.63,37.33, 40 
143,Cochise ,Computer and Mathematical Occupations,42.24,23.52,31.59,41.84,51.57,61.38," 1,830 "
144,Cochise ,Computer and Information Research Scientists,50.95,30.11,46.08,51.57,59.90,64.89, 80 
145,Cochise ,Computer Systems Analysts,42.00,27.17,34.22,43.09,49.44,58.27, 290 
146,Cochise ,Information Security Analysts,44.80,24.93,32.48,41.70,54.47,71.06, 130 
147,Cochise ,"Software Developers, Applications",45.21,25.19,32.03,38.14,52.62,85.61, 60 
148,Cochise ,"Software Developers, Systems Software",50.60,32.39,39.86,46.77,57.66,71.76, 120 
149,Cochise ,Web Developers,34.55,26.23,30.83,34.97,38.98,45.23, 30 
150,Cochise ,Network and Computer Systems Administrators,34.33,25.64,28.46,33.32,38.53,45.95, 190 
151,Cochise ,Computer Network Architects,42.20,25.61,31.42,41.81,51.70,61.49, 60 
152,Cochise ,Computer User Support Specialists,23.27,13.85,17.94,22.18,26.65,35.43, 160 
153,Cochise ,Computer Network Support Specialists,41.38,17.26,25.55,41.33,56.78,63.90, 90 
154,Cochise ,"Computer Occupations, All Other",47.97,34.58,40.25,48.35,54.92,62.14, 550 
155,Cochise ,Operations Research Analysts,42.58,24.50,33.94,45.06,52.09,56.57, 30 
156,Cochise ,Architecture and Engineering Occupations,44.94,22.40,29.77,43.75,54.92,68.63, 640 
157,Cochise ,Computer Hardware Engineers,55.86,30.16,43.15,54.92,67.04,80.49, 120 
158,Cochise ,Electrical Engineers,54.87,28.46,40.97,49.35,62.09,93.93, 50 
159,Cochise ,"Electronics Engineers, Except Computer",50.42,30.63,46.63,54.91,54.92,63.49, 110 
160,Cochise ,Mechanical Engineers,54.91,33.67,39.69,49.28,71.65,85.36, 50 
161,Cochise ,"Engineers, All Other",54.86,15.42,49.28,56.40,63.71,86.35, 50 
162,Cochise ,Electrical and Electronics Engineering Technicians,31.27,18.85,23.09,32.56,38.60,44.02, 60 
163,Cochise ,"Engineering Technicians, Except Drafters, All Other",28.63,19.16,22.77,27.78,32.30,39.22, 50 
164,Cochise ,"Life, Physical, and Social Science Occupations",35.56,14.44,20.48,35.53,46.18,54.92, 390 
165,Cochise ,Community and Social Services Occupations,20.90,12.90,15.26,19.32,22.93,28.63, 520 
166,Cochise ,"Educational, Guidance, School, and Vocational Counselors",26.16,15.02,18.86,21.53,24.16,31.14, 110 
167,Cochise ,"Substance abuse, behavioral disorder, and mental health counselors",18.01,12.71,14.08,17.25,20.95,23.65, 120 
168,Cochise ,"Child, Family, and School Social Workers",19.97,14.98,16.54,19.36,22.55,26.19, * 
169,Cochise ,Social and Human Service Assistants,18.68,13.12,15.14,19.04,22.00,23.92, 80 
170,Cochise ,Legal Occupations,34.05,17.40,22.70,33.14,42.82,53.38, * 
171,Cochise ,Lawyers,41.11,31.65,34.29,38.69,47.15,56.56, 80 
172,Cochise ,Paralegals and Legal Assistants,20.01,14.70,16.49,19.98,22.96,25.34, 40 
173,Cochise ,"Kindergarten Teachers, Except Special Education",*,*,*,*,*,*, 30 
174,Cochise ,"Elementary School Teachers, Except Special Education",*,*,*,*,*,*, 520 
175,Cochise ,"Middle School Teachers, Except Special and Career/Technical Educa",*,*,*,*,*,*, 110 
176,Cochise ,"Secondary School Teachers, Except Special and Career/Technical Ed",*,*,*,*,*,*, 210 
177,Cochise ,"Career/Technical Education Teachers, Secondary School",*,*,*,*,*,*, 30 
178,Cochise ,"Special Education Teachers, Kindergarten and Elementary School",*,*,*,*,*,*, 40 
179,Cochise ,"Teachers and Instructors, All Other, Except Substitute Teachers",*,*,*,*,*,*, 290 
180,Cochise ,Instructional Coordinators,30.47,17.22,20.76,25.33,40.65,49.27, 50 
181,Cochise ,Teacher Assistants,*,*,*,*,*,*, 570 
182,Cochise ,"Education, Training, and Library Workers, All Other",20.85,11.85,15.91,21.07,23.91,28.10, 40 
183,Cochise ,"Arts, Design, Entertainment, Sports, and Media Occupations",26.50,11.32,14.93,24.43,35.97,46.17, 340 
184,Cochise ,Multimedia Artists and Animators,30.76,21.99,25.41,29.30,35.53,41.69, * 
185,Cochise ,Healthcare Practitioners and Technical Occupations,43.79,14.19,21.70,30.41,46.44,*," 1,480 "
186,Cochise ,Pharmacists,64.71,52.72,58.68,66.71,74.12,78.57, 40 
187,Cochise ,Family and General Practitioners,72.13,25.65,28.12,77.79,97.57,*, 30 
188,Cochise ,"Physicians and Surgeons, All Other",127.10,65.20,*,*,*,*, 130 
189,Cochise ,Veterinarians,43.73,14.42,22.58,47.63,58.50,69.81, * 
190,Cochise ,Registered Nurses,31.82,24.90,27.14,30.67,36.87,43.23, 400 
191,Cochise ,Nurse Practitioners,50.09,27.82,38.94,47.11,59.19,84.36, 70 
192,Cochise ,Clinical Laboratory Technologists and Technicians,22.62,11.46,13.80,22.69,28.88,35.08, 60 
193,Cochise ,Dental Hygienists,40.30,32.33,35.64,41.48,45.99,48.69, 50 
194,Cochise ,Radiologic Technologists and Technicians,29.89,21.39,24.51,29.61,35.17,38.78, 40 
195,Cochise ,Emergency Medical Technicians and Paramedics,15.34,11.15,12.11,13.86,16.28,22.77, * 
196,Cochise ,Pharmacy Technicians,16.81,13.05,14.77,16.88,18.79,19.94, 60 
197,Cochise ,Licensed Practical and Licensed Vocational Nurses,21.61,13.86,21.34,22.75,23.79,24.59, 50 
198,Cochise ,Medical Records and Health Information Technicians,19.77,12.15,14.24,17.32,23.28,33.11, * 
199,Cochise ,"Health Technologists and Technicians, All Other",16.12,11.92,13.10,14.90,17.97,22.22, 40 
200,Cochise ,Healthcare Support Occupations,17.19,11.08,12.56,15.05,19.41,26.63, 630 
201,Cochise ,Home Health Aides,12.22,10.76,11.18,11.87,13.18,14.64, * 
202,Cochise ,Nursing Assistants,18.95,10.51,12.04,15.23,25.51,34.17, 160 
203,Cochise ,Dental Assistants,16.68,11.62,13.89,16.68,19.25,22.34, 80 
204,Cochise ,Medical Assistants,16.09,12.01,13.17,14.83,17.73,22.76, 190 
205,Cochise ,Protective Service Occupations,27.63,15.17,18.54,24.02,39.08,41.44," 2,310 "
206,Cochise ,First-Line Supervisors of Police and Detectives,43.53,26.12,30.34,40.81,53.45,70.71, 60 
207,Cochise ,First-Line Supervisors of Fire Fighting and Prevention Workers,31.62,20.90,24.40,27.77,37.36,48.48, 30 
208,Cochise ,Firefighters,19.21,10.97,11.70,18.63,23.73,27.47, 180 
209,Cochise ,Correctional Officers and Jailers,19.06,15.79,16.89,18.72,21.54,23.40, 510 
210,Cochise ,Detectives and Criminal Investigators,37.75,22.70,39.07,40.25,41.44,41.45, 870 
211,Cochise ,Police and Sheriff's Patrol Officers,26.25,20.02,21.75,25.29,30.01,35.59, 250 
212,Cochise ,Security Guards,16.01,11.40,13.24,15.99,18.32,20.66, 150 
213,Cochise ,"Protective Service Workers, All Other",18.87,12.61,14.33,17.52,23.21,28.57, 70 
214,Cochise ,Food Preparation and Serving-Related Occupations,12.64,10.51,10.73,11.42,12.52,16.44," 3,030 "
215,Cochise ,Chefs and Head Cooks,15.71,11.19,12.06,13.54,16.92,25.76, * 
216,Cochise ,First-Line Supervisors of Food Preparation and Serving Workers,18.28,11.13,12.74,16.56,23.11,29.10, 220 
217,Cochise ,"Cooks, Institution and Cafeteria",12.02,10.64,11.00,11.61,12.37,14.49, 120 
218,Cochise ,"Cooks, Restaurant",12.52,10.72,11.13,11.86,13.46,14.83, 280 
219,Cochise ,Food Preparation Workers,12.00,10.71,11.05,11.61,12.42,14.20, 80 
220,Cochise ,Bartenders,14.59,10.50,10.51,11.07,19.74,25.42, 140 
221,Cochise ,"Combined Food Preparation and Serving Workers, Including Fast Food",11.34,10.51,10.64,11.15,11.65,12.27," 1,250 "
222,Cochise ,Waiters and Waitresses,13.51,10.51,10.88,11.92,15.06,20.00, 520 
223,Cochise ,Dining Room and Cafeteria Attendants and Bartender Helpers,13.89,10.50,10.58,11.53,16.66,20.06, * 
224,Cochise ,Dishwashers,11.12,10.50,10.51,10.76,11.47,12.22, 90 
225,Cochise ,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",11.04,10.50,10.50,10.51,11.22,12.48, * 
226,Cochise ,Building and Grounds Cleaning and Maintenance Occupations,12.63,10.51,10.82,11.55,13.32,16.40, 940 
227,Cochise ,First-Line Supervisors of Housekeeping and Janitorial Workers,20.41,12.42,14.36,17.61,26.69,34.18, 30 
228,Cochise ,"First-Line Supervisors of Landscaping, Lawn Service, and Groundsk",16.87,12.80,13.93,15.99,18.55,23.65, 40 
229,Cochise ,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",12.24,10.51,10.76,11.49,12.92,15.56, 360 
230,Cochise ,Maids and Housekeeping Cleaners,11.52,10.50,10.51,11.14,11.83,12.74, 280 
231,Cochise ,Landscaping and Groundskeeping Workers,12.30,10.71,11.04,11.57,13.21,15.23, 190 
232,Cochise ,Personal Care and Service Occupations,12.65,10.51,10.74,11.41,12.42,16.22, 800 
233,Cochise ,First-Line Supervisors of Personal Service Workers,18.75,10.85,12.70,16.85,22.65,30.03, 40 
234,Cochise ,Nonfarm Animal Caretakers,12.32,10.60,10.97,11.57,13.43,15.24, * 
235,Cochise ,Childcare Workers,11.52,10.50,10.51,11.06,12.14,13.83, 110 
236,Cochise ,Personal Care Aides,11.44,10.51,10.72,11.26,11.84,12.40, 350 
237,Cochise ,Fitness Trainers and Aerobics Instructors,14.05,10.76,11.15,11.78,14.97,19.55, 30 
238,Cochise ,Sales and Related Occupations,14.76,10.51,10.87,11.77,15.00,22.60," 2,860 "
239,Cochise ,First-Line Supervisors of Retail Sales Workers,17.05,12.44,13.55,15.53,19.97,23.65, 400 
240,Cochise ,First-Line Supervisors of Non-Retail Sales Workers,31.07,14.60,26.98,30.06,37.39,46.21, * 
241,Cochise ,Cashiers,11.48,10.50,10.51,11.04,11.78,13.18, 760 
242,Cochise ,Counter and Rental Clerks,11.96,10.50,10.51,10.69,12.06,14.69, 40 
243,Cochise ,Parts Salespersons,13.85,10.50,10.51,12.11,15.67,18.77, 50 
244,Cochise ,Retail Salespersons,11.98,10.51,10.81,11.41,12.10,14.50," 1,160 "
245,Cochise ,"Securities, Commodities, and Financial Services Sales Agents",19.89,11.78,16.15,18.50,21.83,24.63, 80 
246,Cochise ,"Sales Representatives, Services, All Other",23.84,13.69,16.69,24.54,29.17,32.57, 100 
247,Cochise ,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",36.30,12.12,18.57,28.92,37.67,91.56, 90 
248,Cochise ,"Sales and Related Workers, All Other",17.12,10.75,11.39,13.04,19.96,30.39, * 
249,Cochise ,Office and Administrative Support Occupations,15.66,10.69,11.42,14.08,18.35,23.61," 5,200 "
250,Cochise ,First-Line Supervisors of Office and Administrative Support Worke,20.42,12.71,16.04,19.72,24.21,28.97, 400 
251,Cochise ,Billing and Posting Clerks and Machine Operators,16.05,11.83,13.07,15.01,18.19,22.14, 100 
252,Cochise ,"Bookkeeping, Accounting, and Auditing Clerks",16.13,10.51,11.91,14.81,20.26,23.76, 270 
253,Cochise ,Payroll and Timekeeping Clerks,17.01,10.51,11.53,15.43,19.16,24.69, 40 
254,Cochise ,Procurement Clerks,22.72,17.56,20.69,22.73,25.08,28.42, 60 
255,Cochise ,Tellers,13.84,11.23,12.32,13.74,15.19,17.26, 80 
256,Cochise ,"Court, Municipal, and License Clerks",15.20,10.77,12.63,14.31,17.01,19.12, 90 
257,Cochise ,Customer Service Representatives,13.52,10.69,11.03,11.60,15.12,18.34, * 
258,Cochise ,"Hotel, Motel, and Resort Desk Clerks",11.10,10.50,10.51,10.86,11.48,11.89, 150 
259,Cochise ,"Library Assistants, Clerical",12.00,10.51,10.86,11.46,12.54,14.47, 30 
260,Cochise ,"Human Resources Assistants, Except Payroll and Timekeeping",20.05,13.31,16.39,20.43,23.37,27.35, 40 
261,Cochise ,Receptionists and Information Clerks,13.10,10.57,11.10,12.03,14.57,17.76, 210 
262,Cochise ,"Information and Record Clerks, All Other",22.05,13.58,18.79,23.36,25.36,27.80, 90 
263,Cochise ,"Dispatchers, Except Police, Fire, and Ambulance",16.08,12.08,13.67,16.16,18.33,20.43, 50 
264,Cochise ,Postal Service Clerks,24.55,20.44,21.39,22.36,28.90,29.49, 40 
265,Cochise ,Postal Service Mail Carriers,23.58,17.29,17.78,21.79,30.04,30.48, 120 
266,Cochise ,"Production, Planning, and Expediting Clerks",21.99,12.61,14.85,23.37,27.25,30.09, 30 
267,Cochise ,"Shipping, Receiving, and Traffic Clerks",16.15,10.86,11.63,13.54,20.81,25.54, 90 
268,Cochise ,Stock Clerks and Order Fillers,13.72,10.51,10.94,11.93,15.78,19.70, 600 
269,Cochise ,Executive Secretaries and Executive Administrative Assistants,22.01,15.95,17.78,21.25,25.31,29.98, 80 
270,Cochise ,Legal Secretaries,18.53,14.31,16.07,17.89,20.45,23.84, 40 
271,Cochise ,Medical Secretaries,15.15,11.34,12.48,14.37,17.63,20.75, 190 
272,Cochise ,"Secretaries and Administrative Assistants, Except Legal, Medical,",14.58,10.55,11.42,13.61,17.00,20.31, 570 
273,Cochise ,Word Processors and Typists,13.62,11.30,12.53,13.59,14.65,15.28, 50 
274,Cochise ,"Office Clerks, General",14.98,10.68,11.59,14.21,17.66,20.51, 430 
275,Cochise ,"Office and Administrative Support Workers, All Other",22.12,14.67,17.94,22.02,26.62,28.79, 60 
276,Cochise ,"Farming, Fishing, and Forestry Occupations",12.57,10.65,10.89,11.29,11.68,15.86, 310 
277,Cochise ,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",11.58,10.64,10.86,11.22,11.59,11.87, 280 
278,Cochise ,Construction and Extraction Occupations,19.79,12.34,14.47,17.90,23.28,29.92," 1,040 "
